Circuit,xd
Suzuka,"{1: ('Alonso', ((284, 'minutes', 51, 'seconds', 84, 'centesimas', 8, 'milesimas'), 'Aston Martin')), 2: ('Stroll', ((306, 'minutes', 55, 'seconds', 64, 'centesimas', 6, 'milesimas'), 'Aston Martin')), 3: ('Magnussen', ((330, 'minutes', 59, 'seconds', 5, 'centesimas', 8, 'milesimas'), 'Haas')), 4: ('Russel', ((334, 'minutes', 15, 'seconds', 12, 'centesimas', 7, 'milesimas'), 'Mercedes')), 5: ('Hulkenberg', ((343, 'minutes', 18, 'seconds', 34, 'centesimas', 5, 'milesimas'), 'Haas')), 6: ('Hamilton', ((346, 'minutes', 6, 'seconds', 27, 'centesimas', 4, 'milesimas'), 'Mercedes')), 7: ('Sainz', ((351, 'minutes', 48, 'seconds', 11, 'centesimas', 5, 'milesimas'), 'Ferrari')), 8: ('Leclerc', (None, 'Ferrari'))}"
Monza,"{1: ('Alonso', ((229, 'minutes', 38, 'seconds', 96, 'centesimas', 1, 'milesimas'), 'Aston Martin')), 2: ('Leclerc', ((230, 'minutes', 6, 'seconds', 19, 'centesimas', 1, 'milesimas'), 'Ferrari')), 3: ('Stroll', ((232, 'minutes', 40, 'seconds', 21, 'centesimas', 5, 'milesimas'), 'Aston Martin')), 4: ('Hamilton', ((242, 'minutes', 16, 'seconds', 96, 'centesimas', 7, 'milesimas'), 'Mercedes')), 5: ('Hulkenberg', ((246, 'minutes', 27, 'seconds', 77, 'centesimas', 5, 'milesimas'), 'Haas')), 6: ('Magnussen', ((269, 'minutes', 19, 'seconds', 38, 'centesimas', 5, 'milesimas'), 'Haas')), 7: ('Russel', ((273, 'minutes', 52, 'seconds', 97, 'centesimas', 4, 'milesimas'), 'Mercedes')), 8: ('Sainz', (None, 'Ferrari'))}"
Interlagos,"{1: ('Stroll', ((340, 'minutes', 29, 'seconds', 75, 'centesimas', 1, 'milesimas'), 'Aston Martin')), 2: ('Hulkenberg', ((348, 'minutes', 36, 'seconds', 80, 'centesimas', 7, 'milesimas'), 'Haas')), 3: ('Magnussen', ((365, 'minutes', 18, 'seconds', 12, 'centesimas', 2, 'milesimas'), 'Haas')), 4: ('Alonso', ((373, 'minutes', 6, 'seconds', 64, 'centesimas', 7, 'milesimas'), 'Aston Martin')), 5: ('Hamilton', (None, 'Mercedes')), 6: ('Russel', (None, 'Mercedes')), 7: ('Sainz', (None, 'Ferrari')), 8: ('Leclerc', (None, 'Ferrari'))}"
Monaco,"{1: ('Leclerc', ((345, 'minutes', 29, 'seconds', 96, 'centesimas', 8, 'milesimas'), 'Ferrari')), 2: ('Alonso', ((378, 'minutes', 53, 'seconds', 28, 'centesimas', 4, 'milesimas'), 'Aston Martin')), 3: ('Magnussen', ((395, 'minutes', 55, 'seconds', 83, 'centesimas', 1, 'milesimas'), 'Haas')), 4: ('Hulkenberg', ((405, 'minutes', 56, 'seconds', 38, 'centesimas', 3, 'milesimas'), 'Haas')), 5: ('Sainz', (None, 'Ferrari')), 6: ('Russel', (None, 'Mercedes')), 7: ('Stroll', (None, 'Aston Martin')), 8: ('Hamilton', (None, 'Mercedes'))}"
Silverstone,"{1: ('Sainz', ((298, 'minutes', 40, 'seconds', 15, 'centesimas', 8, 'milesimas'), 'Ferrari')), 2: ('Stroll', ((318, 'minutes', 54, 'seconds', 55, 'centesimas', 5, 'milesimas'), 'Aston Martin')), 3: ('Alonso', ((320, 'minutes', 40, 'seconds', 55, 'centesimas', 7, 'milesimas'), 'Aston Martin')), 4: ('Magnussen', ((328, 'minutes', 0, 'seconds', 13, 'centesimas', 5, 'milesimas'), 'Haas')), 5: ('Hamilton', (None, 'Mercedes')), 6: ('Russel', (None, 'Mercedes')), 7: ('Leclerc', (None, 'Ferrari')), 8: ('Hulkenberg', (None, 'Haas'))}"
Spa,"{1: ('Magnussen', ((259, 'minutes', 15, 'seconds', 80, 'centesimas', 8, 'milesimas'), 'Haas')), 2: ('Alonso', ((260, 'minutes', 49, 'seconds', 33, 'centesimas', 2, 'milesimas'), 'Aston Martin')), 3: ('Russel', ((263, 'minutes', 10, 'seconds', 37, 'centesimas', 2, 'milesimas'), 'Mercedes')), 4: ('Leclerc', ((264, 'minutes', 47, 'seconds', 75, 'centesimas', 9, 'milesimas'), 'Ferrari')), 5: ('Stroll', ((265, 'minutes', 6, 'seconds', 20, 'centesimas', 9, 'milesimas'), 'Aston Martin')), 6: ('Hulkenberg', ((270, 'minutes', 3, 'seconds', 58, 'centesimas', 7, 'milesimas'), 'Haas')), 7: ('Sainz', ((276, 'minutes', 55, 'seconds', 92, 'centesimas', 5, 'milesimas'), 'Ferrari')), 8: ('Hamilton', (None, 'Mercedes'))}"
Hungaroring,"{1: ('Hamilton', ((429, 'minutes', 10, 'seconds', 75, 'centesimas', 9, 'milesimas'), 'Mercedes')), 2: ('Sainz', ((436, 'minutes', 11, 'seconds', 1, 'centesimas', 4, 'milesimas'), 'Ferrari')), 3: ('Stroll', ((442, 'minutes', 14, 'seconds', 70, 'centesimas', 0, 'milesimas'), 'Aston Martin')), 4: ('Leclerc', (None, 'Ferrari')), 5: ('Alonso', (None, 'Aston Martin')), 6: ('Russel', (None, 'Mercedes')), 7: ('Magnussen', (None, 'Haas')), 8: ('Hulkenberg', (None, 'Haas'))}"
Hockenheimring,"{1: ('Hulkenberg', ((284, 'minutes', 56, 'seconds', 27, 'centesimas', 2, 'milesimas'), 'Haas')), 2: ('Russel', ((298, 'minutes', 9, 'seconds', 85, 'centesimas', 2, 'milesimas'), 'Mercedes')), 3: ('Magnussen', ((298, 'minutes', 35, 'seconds', 7, 'centesimas', 9, 'milesimas'), 'Haas')), 4: ('Sainz', ((302, 'minutes', 53, 'seconds', 82, 'centesimas', 7, 'milesimas'), 'Ferrari')), 5: ('Hamilton', ((351, 'minutes', 9, 'seconds', 39, 'centesimas', 6, 'milesimas'), 'Mercedes')), 6: ('Leclerc', ((358, 'minutes', 37, 'seconds', 11, 'centesimas', 1, 'milesimas'), 'Ferrari')), 7: ('Alonso', (None, 'Aston Martin')), 8: ('Stroll', (None, 'Aston Martin'))}"
YasMarina,"{1: ('Stroll', ((317, 'minutes', 23, 'seconds', 75, 'centesimas', 7, 'milesimas'), 'Aston Martin')), 2: ('Alonso', ((341, 'minutes', 3, 'seconds', 62, 'centesimas', 6, 'milesimas'), 'Aston Martin')), 3: ('Magnussen', ((342, 'minutes', 4, 'seconds', 75, 'centesimas', 5, 'milesimas'), 'Haas')), 4: ('Sainz', ((345, 'minutes', 50, 'seconds', 61, 'centesimas', 5, 'milesimas'), 'Ferrari')), 5: ('Hulkenberg', ((347, 'minutes', 37, 'seconds', 29, 'centesimas', 3, 'milesimas'), 'Haas')), 6: ('Leclerc', ((348, 'minutes', 31, 'seconds', 35, 'centesimas', 9, 'milesimas'), 'Ferrari')), 7: ('Russel', ((349, 'minutes', 26, 'seconds', 96, 'centesimas', 8, 'milesimas'), 'Mercedes')), 8: ('Hamilton', ((350, 'minutes', 11, 'seconds', 50, 'centesimas', 7, 'milesimas'), 'Mercedes'))}"
Shanghai,"{1: ('Hamilton', ((239, 'minutes', 23, 'seconds', 85, 'centesimas', 3, 'milesimas'), 'Mercedes')), 2: ('Alonso', ((259, 'minutes', 43, 'seconds', 17, 'centesimas', 4, 'milesimas'), 'Aston Martin')), 3: ('Russel', ((266, 'minutes', 25, 'seconds', 34, 'centesimas', 1, 'milesimas'), 'Mercedes')), 4: ('Hulkenberg', ((269, 'minutes', 36, 'seconds', 57, 'centesimas', 5, 'milesimas'), 'Haas')), 5: ('Magnussen', ((272, 'minutes', 44, 'seconds', 68, 'centesimas', 2, 'milesimas'), 'Haas')), 6: ('Stroll', (None, 'Aston Martin')), 7: ('Sainz', (None, 'Ferrari')), 8: ('Leclerc', (None, 'Ferrari'))}"
