Vehicle,Compound Type,Vuelta,PitStop Time,Circuit,Escuderia
Hamilton,{'soft': 20},0,0.0,Suzuka,Mercedes
Sainz,{'medium': 33},0,0.0,Suzuka,Ferrari
Alonso,{'soft': 23},0,0.0,Suzuka,Aston Martin
Hulkenberg,{'medium': 31},0,0.0,Suzuka,Haas
Russell,{'soft': 23},0,0.0,Suzuka,Mercedes
Magnussen,{'medium': 32},0,0.0,Suzuka,Haas
Leclerc,{'hard': 30},0,0.0,Suzuka,Ferrari
Stroll,{'hard': 40},0,0.0,Suzuka,Aston Martin
Hulkenberg,{'medium': 31},15,0.0,Suzuka,Haas
Hamilton,{'soft': 22},22,29.850937319792138,Suzuka,Mercedes
Alonso,{'medium': 31},24,24.95016986360588,Suzuka,Aston Martin
Russell,{'hard': 34},24,23.276528161646638,Suzuka,Mercedes
Sainz,{'medium': 33},32,0.0,Suzuka,Ferrari
Leclerc,{'soft': 30},30,29.20529017498484,Suzuka,Ferrari
Magnussen,{'medium': 32},33,0.0,Suzuka,Haas
Hamilton,{'soft': 26},44,29.850937319792138,Suzuka,Mercedes
Stroll,{'hard': 40},40,29.769170367293555,Suzuka,Aston Martin
Russell,{'medium': 30},58,23.276528161646638,Suzuka,Mercedes
Alonso,{'medium': 33},58,24.95016986360497,Suzuka,Aston Martin
Hamilton,{'hard': 32},70,29.850937319792138,Suzuka,Mercedes
Hamilton,{'hard': 32},70,0.0,Suzuka,Mercedes
Alonso,{'medium': 33},70,0.0,Suzuka,Aston Martin
Leclerc,{'hard': 38},62,29.20529017498484,Suzuka,Ferrari
Russell,{'medium': 30},70,0.0,Suzuka,Mercedes
Stroll,{'hard': 40},70,0.0,Suzuka,Aston Martin
Leclerc,{'hard': 38},70,0.0,Suzuka,Ferrari
